Campaign_ID,Campaign_Type,Campaign_Objective,Product_ID,Marketing_Channel,Industry,Target_Audience,Funnel_Stage,Creative_Type,Device_Target,Region_Target,Bid_Strategy,Budget,Budget_Category,Campaign_Duration,Campaign_Status,AI_Campaign_Score,Success_Probability,Risk_Level,Priority,Expected_ROI,Estimated_Revenue,Expected_Conversions,Target_CPA,Target_ROAS,Audience_Size,Optimization_Score,Impressions,Clicks,Conversions,CTR,Spend,Revenue,CPC,CPM,Engagement_Rate,Bounce_Rate,Avg_Session_Duration,Campaign_Success
1,4,3,273,3,7,2,0,4,1,2,0,114187,2,86,3,71,65,2,2,100.74,229218,3614,31.6,2.01,3910248,67,3227148,38080,5315,1.18,114187,229218,3.0,35.38,4.38,37.35,397,1
2,5,1,110,1,6,1,2,3,3,2,4,305968,2,47,1,81,83,2,2,107.05,633506,3171,96.49,2.07,3800857,70,4924318,532318,82562,10.81,305968,633506,0.57,62.13,3.55,44.59,194,1
3,5,3,243,0,2,5,2,4,3,4,3,1424332,0,67,2,85,93,1,2,125.81,3216284,1054,1351.36,2.26,856126,76,1186039,59657,8184,5.03,1424332,3216284,23.88,1200.91,17.1,23.72,93,1
4,2,4,108,3,7,4,1,1,2,4,4,1391856,0,94,2,92,98,1,0,103.98,2839107,2123,655.61,2.04,4405040,62,4084831,281036,16890,6.88,1391856,2839107,4.95,340.74,7.67,24.24,435,1
5,4,3,66,5,1,0,0,3,1,0,3,191689,2,67,3,86,89,1,2,78.07,341340,3810,50.31,1.78,3971878,68,1591696,65577,5993,4.12,191689,341340,2.92,120.43,3.6,41.83,162,0
6,0,1,98,7,1,0,2,1,3,3,0,939767,1,60,2,95,99,1,0,91.87,1803130,442,2126.17,1.92,4927843,73,59721,6545,862,10.96,939767,1803130,143.59,15735.96,17.62,22.65,34,1
7,2,4,79,5,0,2,1,2,0,0,4,1103494,0,51,0,96,88,1,0,126.04,2494337,103,10713.53,2.26,4052226,100,1071896,57346,2075,5.35,1103494,2494337,19.24,1029.48,7.6,30.82,34,1
8,1,5,70,7,7,3,2,2,0,0,0,645293,1,17,0,93,99,1,0,119.24,1414740,2839,227.3,2.19,265703,68,2813417,165428,2894,5.88,645293,1414740,3.9,229.36,4.84,27.97,411,1
9,0,5,138,7,3,0,2,3,3,2,1,1055933,0,66,1,98,96,1,0,125.93,2385669,2520,419.02,2.26,2219646,93,1045157,121342,15725,11.61,1055933,2385669,8.7,1010.31,11.75,20.42,309,1
10,1,3,186,7,2,2,2,2,3,1,3,364202,2,22,2,72,76,2,2,97.59,719626,1562,233.16,1.98,908128,72,3663779,339632,23978,9.27,364202,719626,1.07,99.41,17.38,26.22,442,1
11,2,4,18,2,3,0,1,0,1,3,2,794953,1,41,3,94,99,1,0,120.35,1751678,851,934.14,2.2,801801,99,692726,20712,1621,2.99,794953,1751678,38.38,1147.57,14.79,30.07,277,1
12,4,3,152,5,5,4,0,1,2,4,2,776301,1,42,3,84,84,2,2,75.89,1365435,3405,227.99,1.76,1713651,61,913532,15895,1409,1.74,776301,1365435,48.84,849.78,13.58,58.48,452,0
13,1,1,214,6,1,1,2,0,2,2,2,973549,1,108,1,86,85,1,2,118.23,2124575,324,3004.78,2.18,2915037,95,4871093,342924,58777,7.04,973549,2124575,2.84,199.86,14.08,56.43,461,1
14,1,0,86,6,6,4,2,1,0,1,4,1396672,0,112,2,97,90,1,0,106.94,2890273,3232,432.14,2.07,4693523,63,3711015,261255,9849,7.04,1396672,2890273,5.35,376.36,12.76,43.07,381,1
15,1,0,90,1,5,4,2,3,1,2,0,927459,1,81,0,76,76,2,2,78.47,1655236,1767,524.88,1.78,1760762,95,1861207,198963,24910,10.69,927459,1655236,4.66,498.31,8.67,54.95,372,1
16,1,2,174,5,2,0,2,4,0,1,3,1413121,0,56,2,87,92,1,2,124.87,3177685,156,9058.47,2.25,2984028,82,3711854,250550,42443,6.75,1413121,3177685,5.64,380.7,3.1,64.89,129,1
