Journey_ID,Customer_ID,Campaign_ID,Journey_Date,Journey_Stage,Device,Pages_Visited,Session_Duration,Bounce,Converted
1,1,705,2024-01-03,Purchase,Tablet,9,443,No,No
2,2,605,2025-10-23,Interest,Desktop,5,642,Yes,Yes
3,3,938,2025-03-21,Retention,Android,10,475,No,Yes
4,4,615,2023-01-15,Retention,iPhone,7,315,No,Yes
5,5,407,2025-12-05,Interest,Desktop,19,392,Yes,Yes
6,6,219,2024-12-16,Awareness,Android,11,470,No,Yes
7,7,862,2025-08-10,Awareness,Tablet,16,229,Yes,No
8,8,79,2023-05-22,Awareness,Android,1,117,No,Yes
9,9,986,2024-12-20,Interest,iPhone,6,878,No,Yes
10,10,199,2023-05-22,Retention,Tablet,15,705,No,Yes
11,11,447,2023-03-05,Retention,Laptop,14,715,Yes,Yes
12,12,401,2023-10-12,Awareness,Tablet,17,748,Yes,Yes
13,13,104,2023-07-10,Retention,iPhone,1,295,Yes,No
14,14,517,2023-11-20,Awareness,Desktop,19,101,Yes,Yes
15,15,61,2024-04-09,Consideration,iPhone,15,622,No,No
16,16,581,2024-09-23,Interest,Tablet,7,197,Yes,Yes
17,17,533,2024-12-08,Retention,Laptop,8,389,No,No
18,18,902,2025-09-23,Consideration,Tablet,18,640,Yes,Yes
19,19,985,2023-06-07,Purchase,Android,9,330,No,Yes
20,20,597,2025-02-13,Purchase,Laptop,4,522,Yes,No
21,21,408,2024-05-12,Retention,Android,17,877,Yes,Yes
22,22,952,2023-11-13,Interest,Laptop,14,863,No,Yes
23,23,473,2024-11-13,Retention,Android,20,77,Yes,Yes
24,24,984,2024-09-03,Interest,iPhone,12,156,No,Yes
25,25,367,2025-05-24,Interest,iPhone,14,680,Yes,No
26,26,997,2023-05-09,Consideration,Android,15,41,Yes,No
27,27,138,2025-05-08,Purchase,Tablet,7,849,Yes,Yes
28,28,78,2023-05-16,Awareness,Laptop,12,491,No,Yes
29,29,974,2024-03-20,Awareness,Tablet,17,630,Yes,Yes
30,30,770,2023-02-06,Interest,Android,2,845,Yes,No
31,31,322,2024-02-12,Retention,Tablet,7,510,No,Yes
32,32,608,2025-12-30,Interest,Tablet,5,110,Yes,Yes
33,33,484,2025-11-07,Purchase,iPhone,19,259,Yes,Yes
34,34,32,2025-09-07,Retention,Desktop,2,557,Yes,No
35,35,987,2023-05-29,Retention,Android,17,229,Yes,No
36,36,770,2024-02-16,Awareness,Laptop,9,230,No,Yes
37,37,639,2025-02-08,Consideration,iPhone,5,761,No,Yes
38,38,429,2025-09-15,Consideration,Android,10,148,Yes,Yes
39,39,833,2025-03-03,Consideration,iPhone,2,633,Yes,No
40,40,766,2025-03-12,Retention,Laptop,4,821,Yes,Yes
41,41,181,2024-07-13,Retention,iPhone,19,782,Yes,No
42,42,185,2023-10-12,Awareness,Tablet,5,607,No,No
43,43,654,2025-01-02,Interest,Android,3,384,No,No
44,44,426,2024-11-01,Interest,Desktop,8,379,No,No
45,45,953,2023-08-22,Interest,Desktop,3,169,No,Yes
46,46,646,2024-05-29,Interest,Desktop,20,653,No,Yes
47,47,690,2023-09-24,Purchase,Laptop,5,710,No,Yes
48,48,995,2025-05-20,Interest,Android,19,398,Yes,Yes
49,49,659,2025-12-04,Purchase,iPhone,5,289,No,No
50,50,135,2025-10-17,Consideration,iPhone,12,517,Yes,Yes
51,51,833,2023-11-14,Purchase,Tablet,2,315,No,No
52,52,207,2024-06-12,Retention,Desktop,12,481,Yes,Yes
